Team,3rd_Att,3rd_Md,4th_Att,4th_Md,Rec_1st,Rec_1st%,Rush_1st,Rush_1st%,Scrm_Plys,Year
49ers,211,95,17,7,188,55.6,132,26.2,1047,2022
Bears,220,90,25,8,109,48.9,148,26.5,993,2022
Bengals,206,95,12,3,221,52.9,96,24.1,1053,2022
Bills,193,97,13,7,212,58.7,128,29.8,1037,2022
Broncos,230,67,24,12,166,48.1,105,23.6,1078,2022
Browns,231,88,42,23,182,54.3,142,26.7,1116,2022
Buccaneers,246,92,27,15,240,48.1,79,20.5,1159,2022
Cardinals,233,82,41,18,189,43.6,115,26.5,1144,2022
Chargers,257,112,29,15,232,47.8,93,23,1154,2022
Chiefs,193,94,12,9,272,62.5,105,25.2,1094,2022
Colts,228,75,26,12,193,48.5,91,20.7,1103,2022
Commanders,230,81,25,12,184,53.5,124,23,1140,2022
Cowboys,231,105,19,10,194,54.6,129,24.3,1114,2022
Dolphins,196,71,24,13,220,59.8,93,23.8,1009,2022
Eagles,222,102,32,22,195,55.7,161,29.6,1124,2022
Falcons,196,82,18,9,148,57.6,152,27.2,1011,2022
Giants,212,78,21,10,170,49.1,150,28.8,1089,2022
Jaguars,215,90,27,14,208,52.8,114,25.4,1072,2022
Jets,240,83,28,11,191,53.5,79,19.5,1074,2022
Lions,211,86,37,20,228,59.5,114,23.8,1092,2022
Packers,200,79,31,12,186,51.1,116,25.4,1051,2022
Panthers,202,64,21,12,138,51.7,119,24.6,976,2022
Patriots,215,75,13,5,166,46.4,98,23.1,1006,2022
Raiders,208,83,24,13,193,53.8,122,28.5,1049,2022
Rams,211,83,19,15,180,52,89,21.6,1001,2022
Ravens,218,91,20,8,149,49.7,167,31.8,1052,2022
Saints,219,88,11,4,181,53.6,103,22.2,1015,2022
Seahawks,201,76,21,12,206,51.6,106,24.9,1044,2022
Steelers,236,106,15,11,189,51.9,129,25.8,1109,2022
Texans,221,67,26,13,159,45.2,90,22.6,1015,2022
Titans,219,80,17,9,153,53.7,104,21.4,992,2022
Vikings,226,93,19,9,244,54.5,93,23,1123,2022
49ers,199,80,20,10,200,58.3,130,26,1035,2021
Bears,216,75,36,15,180,54.2,119,25,1075,2021
Bengals,207,82,20,13,208,54.2,96,22,1046,2021
Bills,222,103,22,11,236,56.9,134,29.1,1143,2021
Broncos,213,82,28,16,179,50.6,124,27.2,1036,2021
Browns,212,83,29,12,177,55.3,138,28.4,1054,2021
Buccaneers,223,105,16,9,273,55.5,106,27.5,1139,2021
